url,title,location,description,qualifications,working_condition,ai_summary,title_ja,description_ja,qualifications_ja,working_condition_ja
https://job-boards.greenhouse.io/paypay/jobs/4089245004,エンタープライズ営業担当,Hybrid,,,,エンタープライズ営業担当を募集しており、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、営業経験が求められる可能性があります。勤務条件についての詳細は不明です。,エンタープライズ営業担当,当社のエンタープライズ営業チームに参加し、大規模な顧客に対してソリューションを提案・販売する役割を担っていただきます。顧客のニーズを理解し、最適な提案を行うことで、ビジネスの成長を促進します。,営業経験が3年以上ある方。エンタープライズ営業の経験があれば尚可。優れたコミュニケーション能力と交渉力を持ち、チームでの協力ができる方。,フルタイム勤務。リモートワークの選択肢あり。給与は経験に応じて決定します。
https://job-boards.greenhouse.io/paypay/jobs/4089251004,Frontend Engineer,Hybrid,"We are looking for a web frontend engineer to join PayPay. You will be building features that change how people in Japan use and manage their finances and business. As a fast-paced company leading the payments industry, we need our engineers to be versatile and enthusiastic to take on new challenges in order to stay at the forefront.",,,PayPayでは、ハイブリッド勤務のフロントエンドエンジニアを募集しています。日本の金融やビジネスの管理方法を変える機能を開発する役割で、迅速な変化に対応できる柔軟性と意欲が求められます。応募要件や勤務条件の詳細は記載されていません。,フロントエンドエンジニア,PayPayに参加するウェブフロントエンドエンジニアを募集しています。日本の人々が財務やビジネスを管理する方法を変える機能を構築していただきます。急成長中の決済業界のリーダーとして、私たちはエンジニアが多様なスキルを持ち、新しい挑戦に対して熱意を持って取り組むことを求めています。,,
https://job-boards.greenhouse.io/paypay/jobs/4089265004,Data Engineer (DaaS),Hybrid,"PayPay's rapid growth necessitates the expansion of its product teams and underscores the critical need for a resilient Data Engineering Platform. This platform is vital to support our increasing business demands. The Data Pipeline team is tasked with creating, deploying, and managing this platform, utilizing leading technologies like Databricks, Delta Lake, Spark, Scala, and the AWS suite.
We are actively seeking skilled Data Engineers to join our team and contribute to scaling our platform across the organization.","Minimum 7 years as a Data Engineer or similar role. Hands-on experience with Databricks, Snowflake, Delta Lake, Spark, and Scala. Proven ability to design, build, and operate Data Lakes or Data Warehouses. Proficiency with Data Orchestration tools (Airflow, Dagster, Prefect). Familiarity with Change Data Capture tools (Canal, Debezium, Maxwell). Strong command of at least one primary language (Scala, Python, etc.) and SQL. Experience with data catalog and metadata management (Unity Catalog, Lakeformation). Experience in Infrastructure as Code (IaC) using Terraform. Excellent problem-solving and debugging abilities for complex data challenges. Strong communication and collaboration skills. Capability to make informed decisions, learn quickly, and consider complex technical contexts.",,PayPayでは、データエンジニアリングプラットフォームの拡張に伴い、データエンジニアを募集しています。応募者は、7年以上の関連経験とDatabricksやSparkなどの技術に精通している必要があります。ハイブリッド勤務で、複雑なデータ課題を解決する能力やコミュニケーションスキルが求められます。,データエンジニア (DaaS),PayPayの急成長に伴い、プロダクトチームの拡大が必要であり、堅牢なデータエンジニアリングプラットフォームの重要性が増しています。このプラットフォームは、ビジネスの需要に応えるために不可欠です。データパイプラインチームは、Databricks、Delta Lake、Spark、Scala、AWSスイートなどの先進技術を活用して、このプラットフォームの構築、展開、管理を担当しています。私たちは、チームに参加し、組織全体でプラットフォームを拡張するために貢献できるスキルを持ったデータエンジニアを積極的に募集しています。,データエンジニアまたは類似の役割での最低7年の経験。Databricks、Snowflake、Delta Lake、Spark、Scalaの実務経験。データレイクまたはデータウェアハウスの設計、構築、運用の実績。データオーケストレーションツール（Airflow、Dagster、Prefect）に関する熟練度。変更データキャプチャツール（Canal、Debezium、Maxwell）に対する理解。少なくとも1つの主要言語（Scala、Pythonなど）とSQLに関する強いスキル。データカタログおよびメタデータ管理（Unity Catalog、Lakeformation）の経験。Terraformを使用したインフラストラクチャコード（IaC）の経験。複雑なデータ課題に対する優れた問題解決能力とデバッグ能力。強いコミュニケーション能力と協力スキル。情報に基づいた意思決定を行い、迅速に学び、複雑な技術的文脈を考慮する能力。,
https://job-boards.greenhouse.io/paypay/jobs/4089300004,Site Reliability Engineer (Bilingual SRE),Hybrid,,"Experience troubleshooting, tuning high performance microservice architectures running on Kubernetes and AWS in highly available production environments. 5+ years experience in software development in Python, Java, Go, etc with strong fundamentals in data structures, algorithms, problem solving and complexity analysis. *During the selection process, you will have a coding challenge. Curious and proactive in finding performance bottlenecks, scalability and resilience problem areas and addressing them. Experience with observability tools and gathering data. Database knowledge such as RDS, NoSQL, distributed TiDB, etc. Excellent communication skills, collaborative and getting things done attitude. Enjoy taking up a challenge and driving it to conclusion. Ability to verbally communicate in both English and Japanese.",,Site Reliability Engineer (Bilingual SRE)のポジションで、ハイブリッド勤務が可能です。応募者は、KubernetesとAWSを使用した高可用性のマイクロサービスアーキテクチャのトラブルシューティング経験があり、Python、Java、Goなどで5年以上のソフトウェア開発経験が求められます。英語と日本語でのコミュニケーション能力が必要で、パフォーマンスのボトルネックやスケーラビリティの問題を解決する意欲が求められます。,サイト信頼性エンジニア（バイリンガルSRE）,,KubernetesやAWS上で稼働する高性能マイクロサービスアーキテクチャのトラブルシューティングやチューニングの経験が必要です。ソフトウェア開発において5年以上の経験があり、Python、Java、Goなどの言語に精通し、データ構造、アルゴリズム、問題解決、複雑性分析の基礎がしっかりしていることが求められます。選考プロセスではコーディングチャレンジがあります。パフォーマンスのボトルネックやスケーラビリティ、レジリエンスの問題を見つけ出し、積極的に対処する姿勢が重要です。可観測性ツールの使用経験やデータ収集の経験も必要です。RDS、NoSQL、分散型TiDBなどのデータベースに関する知識が求められます。優れたコミュニケーション能力を持ち、協力的で物事を成し遂げる姿勢が必要です。挑戦を楽しみ、それを最後までやり遂げる意欲が求められます。英語と日本語の両方で口頭コミュニケーションができることが必要です。,
https://job-boards.greenhouse.io/paypay/jobs/4089304004,IT統制担当/IT Controller,Hybrid,,,,IT統制担当（IT Controller）のポジションで、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、IT関連の統制業務に関わる役割です。興味のある方は詳細を確認の上、応募を検討してください。,IT統制担当,,,
https://job-boards.greenhouse.io/paypay/jobs/4090172004,Automation QA Engineer,Hybrid,,"Minimum 3+ years of experience in developing, executing, and maintaining automated test cases for mobile applications, web applications, and/or APIs. Proven professional experience with at least one of the following automation frameworks/tools: Appium (for mobile), Selenium (for web), or Rest-Assured (for APIs). Proficient in utilizing Cucumber for defining and executing test cases. Well-versed in Continuous Integration/Continuous Deployment (CI/CD) tools such as Jenkins, Bitrise, or similar platforms. Basic understanding of microservices architecture and its associated testing challenges. Strong ability to analyze technical requirements, design comprehensive test strategies, and create detailed, effective test cases. Exceptional analytical and problem-solving skills, coupled with a meticulous attention to detail. Excellent communication skills, a team-oriented mindset, and the ability to work effectively both independently and collaboratively. Hands-on experience with AI productivity tools (NotebookLM, Gemini, Cursor AI, GitHub Copilot). Knowledge of OpenAI API usage, key management, embeddings, and LLM integration workflows. Familiarity with MCP server concepts and their integration in test automation pipelines. Understanding of AI system validation techniques, including testing for bias, hallucinations, drift, and robustness.",,Automation QA Engineerの求人で、ハイブリッド勤務が可能です。応募者は、モバイルやウェブアプリ、APIの自動テストケースの開発・実行・維持に3年以上の経験が必要で、Appium、Selenium、Rest-Assuredのいずれかのフレームワークに精通していることが求められます。また、CI/CDツールやAI関連のスキルも重視されます。,自動化QAエンジニア,モバイルアプリケーション、ウェブアプリケーション、またはAPIのための自動テストケースの開発、実行、維持において、最低3年以上の経験を持つ方を求めています。Appium（モバイル用）、Selenium（ウェブ用）、またはRest-Assured（API用）のいずれかの自動化フレームワーク/ツールに関する実績が必要です。Cucumberを使用してテストケースを定義し、実行するスキルが求められます。Jenkins、BitriseなどのCI/CDツールに精通していることが望ましいです。マイクロサービスアーキテクチャとそのテストに関連する課題についての基本的な理解が必要です。,技術要件を分析し、包括的なテスト戦略を設計し、詳細で効果的なテストケースを作成する能力が求められます。優れた分析力と問題解決能力、細部への注意力が必要です。優れたコミュニケーションスキルを持ち、チーム志向で、独立しても協力しても効果的に働ける方を歓迎します。AI生産性ツール（NotebookLM、Gemini、Cursor AI、GitHub Copilot）を使用した実務経験がある方が望ましいです。OpenAI APIの使用、キー管理、埋め込み、LLM統合ワークフローに関する知識があると尚良しです。テスト自動化パイプラインにおけるMCPサーバーの概念とその統合についての理解が求められます。AIシステムの検証技術、バイアス、幻覚、ドリフト、堅牢性のテストを含む理解が必要です。,勤務条件については、詳細をお問い合わせください。
https://job-boards.greenhouse.io/paypay/jobs/4182995004,Product Designer / プロダクトデザイナー (UX/UI),Hybrid,,"More than 3-5 years of hands-on professional experience in mobile app (iOS/Android) UX/UI design. Experience in UX/UI design using Figma and Adobe Hands-on experience in product release, effectiveness measurement, and product improvement Business conversation level in Japanese or English Experience in using PayPay application",,プロダクトデザイナー（UX/UI）の求人で、勤務地はハイブリッドです。応募には、モバイルアプリのUX/UIデザインに3-5年の実務経験が必要で、FigmaやAdobeの使用経験、製品リリースや改善の実績が求められます。また、日本語または英語でのビジネス会話能力が必要です。,プロダクトデザイナー (UX/UI),モバイルアプリ（iOS/Android）のUX/UIデザインにおける実務経験を活かし、ユーザーにとって魅力的で使いやすい製品をデザインします。FigmaやAdobeを使用したUX/UIデザインの経験が求められます。製品のリリース、効果測定、改善に関する実務経験も必要です。,モバイルアプリ（iOS/Android）のUX/UIデザインにおいて3〜5年以上の実務経験があること。FigmaやAdobeを使用したUX/UIデザインの経験があること。製品リリース、効果測定、改善に関する実務経験があること。ビジネスレベルの日本語または英語の会話能力があること。PayPayアプリの使用経験があること。,詳細は面談時にお伝えします。
https://job-boards.greenhouse.io/paypay/jobs/4643779004,,,,,,職種名、勤務地、仕事内容、応募要件、勤務条件の情報が不足しているため、要約を作成できません。具体的な求人情報を提供していただければ、要約をお手伝いします。,ソフトウェアエンジニア,私たちは、革新的なソフトウェアソリューションを開発するためのソフトウェアエンジニアを募集しています。チームと協力し、プロジェクトの要件を理解し、設計から実装までの全工程に関与していただきます。,"コンピュータサイエンスまたは関連分野の学位。プログラミング言語（例：Java, Python, C++）の実務経験。問題解決能力とチームワークを重視する姿勢。",フルタイム勤務。リモートワークの選択肢あり。フレックスタイム制度を導入。
https://job-boards.greenhouse.io/paypay/jobs/4726951004,ポイントソリューション営業担当,Hybrid,,,,ポイントソリューション営業担当として、ハイブリッド勤務での営業活動を行います。応募要件や具体的な仕事内容は記載されていませんが、営業経験が求められる可能性があります。勤務条件についての詳細は不明です。,ポイントソリューション営業担当,当社のポイントソリューションを提案し、顧客のニーズに応じた最適なソリューションを提供する営業職です。,営業経験があり、コミュニケーション能力が高い方。IT業界の知識があると尚良し。,フルタイム勤務。勤務地は東京。
https://job-boards.greenhouse.io/paypay/jobs/4888665004,Principal Software Engineer,Hybrid,"We are looking for a Principal Software Engineer to work on our various systems which need high scalability, reliability and availability. These challenges require creative thinking and a deep understanding of how software and platform work.
Our ideal candidate is an ace problem solver and a learner at heart. You should have a very high degree of comfort in a programming language of your choice. We offer a flexible work schedule and you get your choice of tools (both hardware and software) and most importantly, the opportunity to work on tough problems with the brightest minds around you. So, if challenges excite you, and you're ready for a big one, let us know.
Responsibilities:
Design, develop, test, deploy, maintain and improve software and core platform Lead technical aspects for multiple projects through hands-on execution and guidance of other engineers Provide architectural blueprints and technical leadership. Provides input and guidance during all phases of programs to solve challenging technical issues. Build common platforms to support different business vertical application systems Develop tools and contribute to open source wherever possible Adopt problem-solving as a way of life – always go to the root cause!
Experience:
Solid foundation in designing, implementing, and maintaining a large-scale distributed system. Experience in developing distributed platform systems such as Messaging Platforms, Pub/Sub Systems, Databases, Distributed Computing Frameworks, and Schedulers.
Tech Stack:
Our technology stack may vary based on project needs. Currently, we utilize:
Programming Languages: Java, Kotlin, Scala Frameworks and Tools: Spring Boot, JUnit, Resilience4j, Feign Databases: MySQL/AuroraDB, DynamoDB, ELK, Kafka, Redis, TiDB Deployment and Orchestration: Docker, Kubernetes, ArgoCD, AWS, GCP Development Tools: GitHub, IntelliJ, Gradle, Maven, npm/yarn, Flyway, Jenkins Data Analytics: BigQuery, Kibana, Spark Diagramming Tools: PlantUML, draw.io , miro.com Communication: Slack, Zoom
Qualifications:
Degree in Computer Engineering or Computer Science or 7+ years equivalent experience in software development Strong fundamentals in data structure, algorithm, operating system and object-oriented programming Deep understanding of concurrency, distributed computing, large-scale system, messaging and algorithm Software development experience in one or more general-purpose programming languages Interest and ability to learn new technology stacks as needed
Preferred Qualifications:
Experience in working for system development in finance, payment, or similar industries Experience with AWS services Contribute to open-source projects Language ability in Japanese and English is a plus (We have a professional translator but it is nice to have language skills)
Portrait:
Experience: Demonstrated experience designing and implementing large scale, high performance, micro-service based architectures utilizing new concepts and technologies where appropriate. Ownership: A mentoring approach to owning, managing and improving the technical aspects of a large scale system end to end. Communication : The ability to clearly and logically communicate your choice of technology and architectural decision based on its implementation strengths and limitations. Commitment : As a professional, commit to the growth and business goals of the organization and create impactful results by your ownership. Curiosity: Foster a development culture that explores new ideas knowing that we learn even from the ones that fail.",,,ハイブリッド勤務のPrincipal Software Engineerを募集しています。大規模で信頼性の高いシステムの設計・開発・運用を担当し、技術的リーダーシップを発揮する役割です。7年以上のソフトウェア開発経験と、分散システムに関する深い理解が求められます。,プリンシパルソフトウェアエンジニア,高いスケーラビリティ、信頼性、可用性が求められるさまざまなシステムで働くプリンシパルソフトウェアエンジニアを募集しています。このような課題には、創造的な思考とソフトウェアやプラットフォームの深い理解が必要です。理想的な候補者は、優れた問題解決者であり、学ぶことに対して熱心な方です。選択したプログラミング言語に非常に高い快適さを持っている必要があります。柔軟な勤務時間を提供し、ハードウェアとソフトウェアのツールを自由に選択でき、最も重要なことは、周囲の優秀な人々と共に難しい問題に取り組む機会があることです。挑戦に興奮する方、そして大きな挑戦に備えている方は、ぜひご連絡ください。,コンピュータ工学またはコンピュータサイエンスの学位、またはソフトウェア開発における7年以上の同等の経験。データ構造、アルゴリズム、オペレーティングシステム、オブジェクト指向プログラミングの強固な基礎。並行処理、分散コンピューティング、大規模システム、メッセージング、アルゴリズムに関する深い理解。1つ以上の汎用プログラミング言語でのソフトウェア開発経験。必要に応じて新しい技術スタックを学ぶ意欲と能力。,プロジェクトのニーズに応じて技術スタックが異なる場合があります。現在使用している技術スタックには、Java、Kotlin、Scalaなどのプログラミング言語、Spring Boot、JUnit、Resilience4j、Feignなどのフレームワークとツール、MySQL/AuroraDB、DynamoDB、ELK、Kafka、Redis、TiDBなどのデータベース、Docker、Kubernetes、ArgoCD、AWS、GCPなどのデプロイメントとオーケストレーション、GitHub、IntelliJ、Gradle、Maven、npm/yarn、Flyway、Jenkinsなどの開発ツール、BigQuery、Kibana、Sparkなどのデータ分析ツール、PlantUML、draw.io、miro.comなどの図表作成ツール、Slack、Zoomなどのコミュニケーションツールが含まれます。
